Gene A	Gene B	Neither	A Not B	B Not A	Both	Log Odds Ratio	p-Value	Adjusted p-Value	Tendency
CXCR2	EPS8	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
ART1	CRK	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
CXCR2	CRK	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
EPS8	CRK	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
ART1	GSN	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
EPS8	GSN	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
CRK	GSN	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
ART1	BIRC2	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
CRK	BIRC2	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
GSN	BIRC2	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
ART1	SOX3	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
EPS8	SOX3	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
CRK	SOX3	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
GSN	SOX3	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
ART1	HAVCR2	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
EPS8	HAVCR2	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
CRK	HAVCR2	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
GSN	HAVCR2	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
CXCR2	SNW1	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
CRK	SNW1	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
GSN	SNW1	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
BIRC2	SNW1	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
HAVCR2	SNW1	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
ART1	SHH	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
EPS8	SHH	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
CRK	SHH	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
GSN	SHH	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
BIRC2	SHH	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
HAVCR2	SHH	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
SNW1	SHH	375	7	7	0	<-3	0.880	1.000	Mutual exclusivity
PAK4	CREB1	370	16	3	0	<-3	0.881	1.000	Mutual exclusivity
PTPA	SON	370	3	16	0	<-3	0.881	1.000	Mutual exclusivity
CREB1	SON	370	3	16	0	<-3	0.881	1.000	Mutual exclusivity
GSK3A	FBXO11	373	4	12	0	<-3	0.882	1.000	Mutual exclusivity
FBXO11	EGFL7	373	12	4	0	<-3	0.882	1.000	Mutual exclusivity
CAPNS1	GRN	373	4	12	0	<-3	0.882	1.000	Mutual exclusivity
GSK3A	GRN	373	4	12	0	<-3	0.882	1.000	Mutual exclusivity
IRF8	GRN	373	4	12	0	<-3	0.882	1.000	Mutual exclusivity
EGFL7	GRN	373	4	12	0	<-3	0.882	1.000	Mutual exclusivity
CAPNS1	PKP3	373	4	12	0	<-3	0.882	1.000	Mutual exclusivity
GSK3A	PKP3	373	4	12	0	<-3	0.882	1.000	Mutual exclusivity
EGFL7	PKP3	373	4	12	0	<-3	0.882	1.000	Mutual exclusivity
GRN	ZNF143	373	12	4	0	<-3	0.882	1.000	Mutual exclusivity
GSK3A	QKI	373	4	12	0	<-3	0.882	1.000	Mutual exclusivity
IRF8	QKI	373	4	12	0	<-3	0.882	1.000	Mutual exclusivity
CAPNS1	TCF3	373	4	12	0	<-3	0.882	1.000	Mutual exclusivity
EED	TCF3	373	4	12	0	<-3	0.882	1.000	Mutual exclusivity
GSK3A	TCF3	373	4	12	0	<-3	0.882	1.000	Mutual exclusivity
IRF8	TCF3	373	4	12	0	<-3	0.882	1.000	Mutual exclusivity
EGFL7	TCF3	373	4	12	0	<-3	0.882	1.000	Mutual exclusivity
ZNF143	TCF3	373	4	12	0	<-3	0.882	1.000	Mutual exclusivity
HDAC8	NUMB	375	6	8	0	<-3	0.882	1.000	Mutual exclusivity
AQP3	NUMB	375	6	8	0	<-3	0.882	1.000	Mutual exclusivity
GAPDH	NUMB	375	6	8	0	<-3	0.882	1.000	Mutual exclusivity
HDAC8	TRIM62	375	6	8	0	<-3	0.882	1.000	Mutual exclusivity
AQP3	TRIM62	375	6	8	0	<-3	0.882	1.000	Mutual exclusivity
NR1I2	JAG1	364	2	23	0	<-3	0.885	1.000	Mutual exclusivity
CSF2	JAG1	364	2	23	0	<-3	0.885	1.000	Mutual exclusivity
GEMIN2	JAG1	364	2	23	0	<-3	0.885	1.000	Mutual exclusivity
JAG1	NODAL	364	23	2	0	<-3	0.885	1.000	Mutual exclusivity
ACTN4	PTPA	371	15	3	0	<-3	0.888	1.000	Mutual exclusivity
OVOL2	MMD	375	9	5	0	<-3	0.889	1.000	Mutual exclusivity
OVOL2	ARRB1	375	9	5	0	<-3	0.889	1.000	Mutual exclusivity
OVOL2	GLS	375	9	5	0	<-3	0.889	1.000	Mutual exclusivity
MMD	AGTR1	375	5	9	0	<-3	0.889	1.000	Mutual exclusivity
ARRB1	AGTR1	375	5	9	0	<-3	0.889	1.000	Mutual exclusivity
GLS	AGTR1	375	5	9	0	<-3	0.889	1.000	Mutual exclusivity
CAPNS1	PBXIP1	374	4	11	0	<-3	0.891	1.000	Mutual exclusivity
EED	IGSF8	374	4	11	0	<-3	0.891	1.000	Mutual exclusivity
PBXIP1	GSK3A	374	11	4	0	<-3	0.891	1.000	Mutual exclusivity
IGSF8	GSK3A	374	11	4	0	<-3	0.891	1.000	Mutual exclusivity
PBXIP1	IRF8	374	11	4	0	<-3	0.891	1.000	Mutual exclusivity
PBXIP1	EGFL7	374	11	4	0	<-3	0.891	1.000	Mutual exclusivity
IGSF8	EGFL7	374	11	4	0	<-3	0.891	1.000	Mutual exclusivity
PBXIP1	ZNF143	374	11	4	0	<-3	0.891	1.000	Mutual exclusivity
CAPNS1	KLF8	374	4	11	0	<-3	0.891	1.000	Mutual exclusivity
EED	KLF8	374	4	11	0	<-3	0.891	1.000	Mutual exclusivity
GSK3A	KLF8	374	4	11	0	<-3	0.891	1.000	Mutual exclusivity
IRF8	KLF8	374	4	11	0	<-3	0.891	1.000	Mutual exclusivity
EGFL7	KLF8	374	4	11	0	<-3	0.891	1.000	Mutual exclusivity
NOTCH4	NR1I2	366	21	2	0	<-3	0.895	1.000	Mutual exclusivity
NOTCH4	CSF2	366	21	2	0	<-3	0.895	1.000	Mutual exclusivity
NOTCH4	GEMIN2	366	21	2	0	<-3	0.895	1.000	Mutual exclusivity
NOTCH4	NAMPT	366	21	2	0	<-3	0.895	1.000	Mutual exclusivity
NR1I2	SFTPC	366	2	21	0	<-3	0.895	1.000	Mutual exclusivity
CSF2	SFTPC	366	2	21	0	<-3	0.895	1.000	Mutual exclusivity
GEMIN2	SFTPC	366	2	21	0	<-3	0.895	1.000	Mutual exclusivity
PTPA	CARD10	372	3	14	0	<-3	0.896	1.000	Mutual exclusivity
CREB1	CARD10	372	3	14	0	<-3	0.896	1.000	Mutual exclusivity
HDAC8	ART1	376	6	7	0	<-3	0.896	1.000	Mutual exclusivity
HDAC8	CXCR2	376	6	7	0	<-3	0.896	1.000	Mutual exclusivity
ART1	AQP3	376	7	6	0	<-3	0.896	1.000	Mutual exclusivity
CXCR2	AQP3	376	7	6	0	<-3	0.896	1.000	Mutual exclusivity
EPS8	AQP3	376	7	6	0	<-3	0.896	1.000	Mutual exclusivity
HDAC8	CRK	376	6	7	0	<-3	0.896	1.000	Mutual exclusivity
AQP3	CRK	376	6	7	0	<-3	0.896	1.000	Mutual exclusivity
HDAC8	GSN	376	6	7	0	<-3	0.896	1.000	Mutual exclusivity
AQP3	GSN	376	6	7	0	<-3	0.896	1.000	Mutual exclusivity
CRK	GAPDH	376	7	6	0	<-3	0.896	1.000	Mutual exclusivity
GSN	GAPDH	376	7	6	0	<-3	0.896	1.000	Mutual exclusivity
AQP3	BIRC2	376	6	7	0	<-3	0.896	1.000	Mutual exclusivity
HDAC8	SOX3	376	6	7	0	<-3	0.896	1.000	Mutual exclusivity
AQP3	SOX3	376	6	7	0	<-3	0.896	1.000	Mutual exclusivity
GAPDH	SOX3	376	6	7	0	<-3	0.896	1.000	Mutual exclusivity
CXCR2	MDM4	376	7	6	0	<-3	0.896	1.000	Mutual exclusivity
EPS8	MDM4	376	7	6	0	<-3	0.896	1.000	Mutual exclusivity
CRK	MDM4	376	7	6	0	<-3	0.896	1.000	Mutual exclusivity
BIRC2	MDM4	376	7	6	0	<-3	0.896	1.000	Mutual exclusivity
SOX3	MDM4	376	7	6	0	<-3	0.896	1.000	Mutual exclusivity
HDAC8	HAVCR2	376	6	7	0	<-3	0.896	1.000	Mutual exclusivity
AQP3	HAVCR2	376	6	7	0	<-3	0.896	1.000	Mutual exclusivity
MDM4	HAVCR2	376	6	7	0	<-3	0.896	1.000	Mutual exclusivity
HDAC8	SNW1	376	6	7	0	<-3	0.896	1.000	Mutual exclusivity
AQP3	SNW1	376	6	7	0	<-3	0.896	1.000	Mutual exclusivity
GAPDH	SNW1	376	6	7	0	<-3	0.896	1.000	Mutual exclusivity
MDM4	SNW1	376	6	7	0	<-3	0.896	1.000	Mutual exclusivity
HDAC8	SHH	376	6	7	0	<-3	0.896	1.000	Mutual exclusivity
AQP3	SHH	376	6	7	0	<-3	0.896	1.000	Mutual exclusivity
GAPDH	SHH	376	6	7	0	<-3	0.896	1.000	Mutual exclusivity
MDM4	SHH	376	6	7	0	<-3	0.896	1.000	Mutual exclusivity
TLE1	CAPNS1	375	10	4	0	<-3	0.901	1.000	Mutual exclusivity
TLE1	EED	375	10	4	0	<-3	0.901	1.000	Mutual exclusivity
CAPNS1	MAPK7	375	4	10	0	<-3	0.901	1.000	Mutual exclusivity
TLE1	GSK3A	375	10	4	0	<-3	0.901	1.000	Mutual exclusivity
MAPK7	GSK3A	375	10	4	0	<-3	0.901	1.000	Mutual exclusivity
TLE1	IRF8	375	10	4	0	<-3	0.901	1.000	Mutual exclusivity
MAPK7	IRF8	375	10	4	0	<-3	0.901	1.000	Mutual exclusivity
TLE1	EGFL7	375	10	4	0	<-3	0.901	1.000	Mutual exclusivity
MAPK7	EGFL7	375	10	4	0	<-3	0.901	1.000	Mutual exclusivity
TLE1	ZNF143	375	10	4	0	<-3	0.901	1.000	Mutual exclusivity
MMD	NUMB	376	5	8	0	<-3	0.901	1.000	Mutual exclusivity
ARRB1	NUMB	376	5	8	0	<-3	0.901	1.000	Mutual exclusivity
GLS	NUMB	376	5	8	0	<-3	0.901	1.000	Mutual exclusivity
MMD	TRIM62	376	5	8	0	<-3	0.901	1.000	Mutual exclusivity
ARRB1	TRIM62	376	5	8	0	<-3	0.901	1.000	Mutual exclusivity
GLS	TRIM62	376	5	8	0	<-3	0.901	1.000	Mutual exclusivity
PTPA	FSCN2	373	3	13	0	<-3	0.903	1.000	Mutual exclusivity
PTPA	SCIN	373	3	13	0	<-3	0.903	1.000	Mutual exclusivity
FSCN2	CREB1	373	13	3	0	<-3	0.903	1.000	Mutual exclusivity
SCIN	CREB1	373	13	3	0	<-3	0.903	1.000	Mutual exclusivity
CUX1	NR1I2	368	19	2	0	<-3	0.905	1.000	Mutual exclusivity
CUX1	CSF2	368	19	2	0	<-3	0.905	1.000	Mutual exclusivity
CUX1	GEMIN2	368	19	2	0	<-3	0.905	1.000	Mutual exclusivity
CUX1	NAMPT	368	19	2	0	<-3	0.905	1.000	Mutual exclusivity
ELSPBP1	UBR5	352	1	36	0	<-3	0.907	1.000	Mutual exclusivity
CSF2	SIN3A	369	2	18	0	<-3	0.909	1.000	Mutual exclusivity
GEMIN2	SIN3A	369	2	18	0	<-3	0.909	1.000	Mutual exclusivity
STAT1	NR1I2	369	18	2	0	<-3	0.909	1.000	Mutual exclusivity
STAT1	CSF2	369	18	2	0	<-3	0.909	1.000	Mutual exclusivity
STAT1	GEMIN2	369	18	2	0	<-3	0.909	1.000	Mutual exclusivity
STAT1	NODAL	369	18	2	0	<-3	0.909	1.000	Mutual exclusivity
SIN3A	NODAL	369	18	2	0	<-3	0.909	1.000	Mutual exclusivity
PTPA	FBXO11	374	3	12	0	<-3	0.910	1.000	Mutual exclusivity
FBXO11	CREB1	374	12	3	0	<-3	0.910	1.000	Mutual exclusivity
GRN	CREB1	374	12	3	0	<-3	0.910	1.000	Mutual exclusivity
CREB1	PKP3	374	3	12	0	<-3	0.910	1.000	Mutual exclusivity
CREB1	QKI	374	3	12	0	<-3	0.910	1.000	Mutual exclusivity
PTPA	TCF3	374	3	12	0	<-3	0.910	1.000	Mutual exclusivity
CREB1	TCF3	374	3	12	0	<-3	0.910	1.000	Mutual exclusivity
CAPNS1	OVOL2	376	4	9	0	<-3	0.910	1.000	Mutual exclusivity
OVOL2	EED	376	9	4	0	<-3	0.910	1.000	Mutual exclusivity
OVOL2	GSK3A	376	9	4	0	<-3	0.910	1.000	Mutual exclusivity
OVOL2	IRF8	376	9	4	0	<-3	0.910	1.000	Mutual exclusivity
OVOL2	EGFL7	376	9	4	0	<-3	0.910	1.000	Mutual exclusivity
OVOL2	ZNF143	376	9	4	0	<-3	0.910	1.000	Mutual exclusivity
CAPNS1	AGTR1	376	4	9	0	<-3	0.910	1.000	Mutual exclusivity
GSK3A	AGTR1	376	4	9	0	<-3	0.910	1.000	Mutual exclusivity
EGFL7	AGTR1	376	4	9	0	<-3	0.910	1.000	Mutual exclusivity
ZNF143	AGTR1	376	4	9	0	<-3	0.910	1.000	Mutual exclusivity
HDAC8	AQP3	377	6	6	0	<-3	0.910	1.000	Mutual exclusivity
HDAC8	GAPDH	377	6	6	0	<-3	0.910	1.000	Mutual exclusivity
AQP3	GAPDH	377	6	6	0	<-3	0.910	1.000	Mutual exclusivity
HDAC8	MDM4	377	6	6	0	<-3	0.910	1.000	Mutual exclusivity
AQP3	MDM4	377	6	6	0	<-3	0.910	1.000	Mutual exclusivity
MMD	EPS8	377	5	7	0	<-3	0.913	1.000	Mutual exclusivity
MMD	CRK	377	5	7	0	<-3	0.913	1.000	Mutual exclusivity
MMD	BIRC2	377	5	7	0	<-3	0.913	1.000	Mutual exclusivity
ARRB1	BIRC2	377	5	7	0	<-3	0.913	1.000	Mutual exclusivity
MMD	SOX3	377	5	7	0	<-3	0.913	1.000	Mutual exclusivity
ARRB1	SOX3	377	5	7	0	<-3	0.913	1.000	Mutual exclusivity
MMD	HAVCR2	377	5	7	0	<-3	0.913	1.000	Mutual exclusivity
ARRB1	HAVCR2	377	5	7	0	<-3	0.913	1.000	Mutual exclusivity
GLS	HAVCR2	377	5	7	0	<-3	0.913	1.000	Mutual exclusivity
MMD	SNW1	377	5	7	0	<-3	0.913	1.000	Mutual exclusivity
ARRB1	SNW1	377	5	7	0	<-3	0.913	1.000	Mutual exclusivity
ARRB1	SHH	377	5	7	0	<-3	0.913	1.000	Mutual exclusivity
GLS	SHH	377	5	7	0	<-3	0.913	1.000	Mutual exclusivity
ART1	MMD	377	7	5	0	<-3	0.913	1.000	Mutual exclusivity
ART1	ARRB1	377	7	5	0	<-3	0.913	1.000	Mutual exclusivity
CXCR2	ARRB1	377	7	5	0	<-3	0.913	1.000	Mutual exclusivity
EPS8	ARRB1	377	7	5	0	<-3	0.913	1.000	Mutual exclusivity
CRK	ARRB1	377	7	5	0	<-3	0.913	1.000	Mutual exclusivity
GSN	ARRB1	377	7	5	0	<-3	0.913	1.000	Mutual exclusivity
CXCR2	GLS	377	7	5	0	<-3	0.913	1.000	Mutual exclusivity
CRK	GLS	377	7	5	0	<-3	0.913	1.000	Mutual exclusivity
GSN	GLS	377	7	5	0	<-3	0.913	1.000	Mutual exclusivity
NR1I2	ITGA3	370	2	17	0	<-3	0.914	1.000	Mutual exclusivity
GEMIN2	ITGA3	370	2	17	0	<-3	0.914	1.000	Mutual exclusivity
NAMPT	ITGA3	370	2	17	0	<-3	0.914	1.000	Mutual exclusivity
CSF2	TP73	370	2	17	0	<-3	0.914	1.000	Mutual exclusivity
GEMIN2	TP73	370	2	17	0	<-3	0.914	1.000	Mutual exclusivity
NAMPT	TP73	370	2	17	0	<-3	0.914	1.000	Mutual exclusivity
NR1I2	FSHR	370	2	17	0	<-3	0.914	1.000	Mutual exclusivity
CSF2	FSHR	370	2	17	0	<-3	0.914	1.000	Mutual exclusivity
G3BP1	NR1I2	370	17	2	0	<-3	0.914	1.000	Mutual exclusivity
G3BP1	CSF2	370	17	2	0	<-3	0.914	1.000	Mutual exclusivity
G3BP1	GEMIN2	370	17	2	0	<-3	0.914	1.000	Mutual exclusivity
G3BP1	NODAL	370	17	2	0	<-3	0.914	1.000	Mutual exclusivity
ITGA3	NODAL	370	17	2	0	<-3	0.914	1.000	Mutual exclusivity
TP73	NODAL	370	17	2	0	<-3	0.914	1.000	Mutual exclusivity
FSHR	NODAL	370	17	2	0	<-3	0.914	1.000	Mutual exclusivity
ELSPBP1	USP9X	355	1	33	0	<-3	0.915	1.000	Mutual exclusivity
ELSPBP1	KMT2A	355	1	33	0	<-3	0.915	1.000	Mutual exclusivity
PTPA	IGSF8	375	3	11	0	<-3	0.917	1.000	Mutual exclusivity
PTPA	KLF8	375	3	11	0	<-3	0.917	1.000	Mutual exclusivity
CREB1	KLF8	375	3	11	0	<-3	0.917	1.000	Mutual exclusivity
PBXIP1	CREB1	375	11	3	0	<-3	0.917	1.000	Mutual exclusivity
PAK4	CSF2	371	16	2	0	<-3	0.919	1.000	Mutual exclusivity
PAK4	GEMIN2	371	16	2	0	<-3	0.919	1.000	Mutual exclusivity
NR1I2	UBE3C	371	2	16	0	<-3	0.919	1.000	Mutual exclusivity
GEMIN2	UBE3C	371	2	16	0	<-3	0.919	1.000	Mutual exclusivity
NR1I2	TRIM33	371	2	16	0	<-3	0.919	1.000	Mutual exclusivity
CSF2	TRIM33	371	2	16	0	<-3	0.919	1.000	Mutual exclusivity
GEMIN2	TRIM33	371	2	16	0	<-3	0.919	1.000	Mutual exclusivity
NR1I2	SON	371	2	16	0	<-3	0.919	1.000	Mutual exclusivity
CSF2	SON	371	2	16	0	<-3	0.919	1.000	Mutual exclusivity
GEMIN2	SON	371	2	16	0	<-3	0.919	1.000	Mutual exclusivity
TRIM33	NODAL	371	16	2	0	<-3	0.919	1.000	Mutual exclusivity
SON	NODAL	371	16	2	0	<-3	0.919	1.000	Mutual exclusivity
CAPNS1	NUMB	377	4	8	0	<-3	0.920	1.000	Mutual exclusivity
GSK3A	NUMB	377	4	8	0	<-3	0.920	1.000	Mutual exclusivity
IRF8	NUMB	377	4	8	0	<-3	0.920	1.000	Mutual exclusivity
EGFL7	NUMB	377	4	8	0	<-3	0.920	1.000	Mutual exclusivity
NUMB	ZNF143	377	8	4	0	<-3	0.920	1.000	Mutual exclusivity
GSK3A	TRIM62	377	4	8	0	<-3	0.920	1.000	Mutual exclusivity
IRF8	TRIM62	377	4	8	0	<-3	0.920	1.000	Mutual exclusivity
ZNF143	TRIM62	377	4	8	0	<-3	0.920	1.000	Mutual exclusivity
ACTN4	NR1I2	372	15	2	0	<-3	0.924	1.000	Mutual exclusivity
NR1I2	PRKCA	372	2	15	0	<-3	0.924	1.000	Mutual exclusivity
ACTN4	CSF2	372	15	2	0	<-3	0.924	1.000	Mutual exclusivity
PRKCA	CSF2	372	15	2	0	<-3	0.924	1.000	Mutual exclusivity
ACTN4	GEMIN2	372	15	2	0	<-3	0.924	1.000	Mutual exclusivity
PRKCA	GEMIN2	372	15	2	0	<-3	0.924	1.000	Mutual exclusivity
ACTN4	NAMPT	372	15	2	0	<-3	0.924	1.000	Mutual exclusivity
PRKCA	NODAL	372	15	2	0	<-3	0.924	1.000	Mutual exclusivity
TLE1	PTPA	376	10	3	0	<-3	0.925	1.000	Mutual exclusivity
TLE1	CREB1	376	10	3	0	<-3	0.925	1.000	Mutual exclusivity
MAPK7	CREB1	376	10	3	0	<-3	0.925	1.000	Mutual exclusivity
HDAC8	MMD	378	6	5	0	<-3	0.925	1.000	Mutual exclusivity
MMD	AQP3	378	5	6	0	<-3	0.925	1.000	Mutual exclusivity
HDAC8	ARRB1	378	6	5	0	<-3	0.925	1.000	Mutual exclusivity
MMD	GAPDH	378	5	6	0	<-3	0.925	1.000	Mutual exclusivity
ARRB1	GAPDH	378	5	6	0	<-3	0.925	1.000	Mutual exclusivity
GAPDH	GLS	378	6	5	0	<-3	0.925	1.000	Mutual exclusivity
MMD	MDM4	378	5	6	0	<-3	0.925	1.000	Mutual exclusivity
ARRB1	MDM4	378	5	6	0	<-3	0.925	1.000	Mutual exclusivity
GLS	MDM4	378	5	6	0	<-3	0.925	1.000	Mutual exclusivity
NR1I2	HDAC6	373	2	14	0	<-3	0.929	1.000	Mutual exclusivity
CSF2	HDAC6	373	2	14	0	<-3	0.929	1.000	Mutual exclusivity
GEMIN2	HDAC6	373	2	14	0	<-3	0.929	1.000	Mutual exclusivity
NR1I2	NRP2	373	2	14	0	<-3	0.929	1.000	Mutual exclusivity
CSF2	NRP2	373	2	14	0	<-3	0.929	1.000	Mutual exclusivity
GEMIN2	NRP2	373	2	14	0	<-3	0.929	1.000	Mutual exclusivity
NR1I2	CARD10	373	2	14	0	<-3	0.929	1.000	Mutual exclusivity
CSF2	CARD10	373	2	14	0	<-3	0.929	1.000	Mutual exclusivity
GEMIN2	CARD10	373	2	14	0	<-3	0.929	1.000	Mutual exclusivity
NAMPT	CARD10	373	2	14	0	<-3	0.929	1.000	Mutual exclusivity
NRP2	NODAL	373	14	2	0	<-3	0.929	1.000	Mutual exclusivity
CXCR2	GSK3A	378	7	4	0	<-3	0.930	1.000	Mutual exclusivity
EPS8	GSK3A	378	7	4	0	<-3	0.930	1.000	Mutual exclusivity
CRK	GSK3A	378	7	4	0	<-3	0.930	1.000	Mutual exclusivity
GSN	GSK3A	378	7	4	0	<-3	0.930	1.000	Mutual exclusivity
ART1	IRF8	378	7	4	0	<-3	0.930	1.000	Mutual exclusivity
EPS8	IRF8	378	7	4	0	<-3	0.930	1.000	Mutual exclusivity
CRK	IRF8	378	7	4	0	<-3	0.930	1.000	Mutual exclusivity
GSN	IRF8	378	7	4	0	<-3	0.930	1.000	Mutual exclusivity
BIRC2	IRF8	378	7	4	0	<-3	0.930	1.000	Mutual exclusivity
SOX3	IRF8	378	7	4	0	<-3	0.930	1.000	Mutual exclusivity
ART1	EGFL7	378	7	4	0	<-3	0.930	1.000	Mutual exclusivity
CXCR2	EGFL7	378	7	4	0	<-3	0.930	1.000	Mutual exclusivity
EPS8	EGFL7	378	7	4	0	<-3	0.930	1.000	Mutual exclusivity
CRK	EGFL7	378	7	4	0	<-3	0.930	1.000	Mutual exclusivity
GSN	EGFL7	378	7	4	0	<-3	0.930	1.000	Mutual exclusivity
BIRC2	EGFL7	378	7	4	0	<-3	0.930	1.000	Mutual exclusivity
SOX3	EGFL7	378	7	4	0	<-3	0.930	1.000	Mutual exclusivity
ART1	ZNF143	378	7	4	0	<-3	0.930	1.000	Mutual exclusivity
CRK	ZNF143	378	7	4	0	<-3	0.930	1.000	Mutual exclusivity
GSN	ZNF143	378	7	4	0	<-3	0.930	1.000	Mutual exclusivity
SOX3	ZNF143	378	7	4	0	<-3	0.930	1.000	Mutual exclusivity
HAVCR2	ZNF143	378	7	4	0	<-3	0.930	1.000	Mutual exclusivity
CAPNS1	ART1	378	4	7	0	<-3	0.930	1.000	Mutual exclusivity
EED	CXCR2	378	4	7	0	<-3	0.930	1.000	Mutual exclusivity
CAPNS1	EPS8	378	4	7	0	<-3	0.930	1.000	Mutual exclusivity
EED	EPS8	378	4	7	0	<-3	0.930	1.000	Mutual exclusivity
CAPNS1	CRK	378	4	7	0	<-3	0.930	1.000	Mutual exclusivity
EED	CRK	378	4	7	0	<-3	0.930	1.000	Mutual exclusivity
CAPNS1	GSN	378	4	7	0	<-3	0.930	1.000	Mutual exclusivity
EED	GSN	378	4	7	0	<-3	0.930	1.000	Mutual exclusivity
CAPNS1	BIRC2	378	4	7	0	<-3	0.930	1.000	Mutual exclusivity
GSK3A	BIRC2	378	4	7	0	<-3	0.930	1.000	Mutual exclusivity
CAPNS1	SOX3	378	4	7	0	<-3	0.930	1.000	Mutual exclusivity
GSK3A	SOX3	378	4	7	0	<-3	0.930	1.000	Mutual exclusivity
CAPNS1	HAVCR2	378	4	7	0	<-3	0.930	1.000	Mutual exclusivity
GSK3A	HAVCR2	378	4	7	0	<-3	0.930	1.000	Mutual exclusivity
IRF8	HAVCR2	378	4	7	0	<-3	0.930	1.000	Mutual exclusivity
EGFL7	HAVCR2	378	4	7	0	<-3	0.930	1.000	Mutual exclusivity
CAPNS1	SNW1	378	4	7	0	<-3	0.930	1.000	Mutual exclusivity
EED	SNW1	378	4	7	0	<-3	0.930	1.000	Mutual exclusivity
EGFL7	SNW1	378	4	7	0	<-3	0.930	1.000	Mutual exclusivity
CAPNS1	SHH	378	4	7	0	<-3	0.930	1.000	Mutual exclusivity
GSK3A	SHH	378	4	7	0	<-3	0.930	1.000	Mutual exclusivity
EGFL7	SHH	378	4	7	0	<-3	0.930	1.000	Mutual exclusivity
ZNF143	SHH	378	4	7	0	<-3	0.930	1.000	Mutual exclusivity
OVOL2	PTPA	377	9	3	0	<-3	0.932	1.000	Mutual exclusivity
OVOL2	CREB1	377	9	3	0	<-3	0.932	1.000	Mutual exclusivity
CREB1	AGTR1	377	3	9	0	<-3	0.932	1.000	Mutual exclusivity
NR1I2	FSCN2	374	2	13	0	<-3	0.934	1.000	Mutual exclusivity
CSF2	FSCN2	374	2	13	0	<-3	0.934	1.000	Mutual exclusivity
GEMIN2	FSCN2	374	2	13	0	<-3	0.934	1.000	Mutual exclusivity
NR1I2	SCIN	374	2	13	0	<-3	0.934	1.000	Mutual exclusivity
CSF2	SCIN	374	2	13	0	<-3	0.934	1.000	Mutual exclusivity
GEMIN2	SCIN	374	2	13	0	<-3	0.934	1.000	Mutual exclusivity
CSF2	ETV1	374	2	13	0	<-3	0.934	1.000	Mutual exclusivity
GEMIN2	ETV1	374	2	13	0	<-3	0.934	1.000	Mutual exclusivity
FSCN2	NODAL	374	13	2	0	<-3	0.934	1.000	Mutual exclusivity
SCIN	NODAL	374	13	2	0	<-3	0.934	1.000	Mutual exclusivity
MMD	ARRB1	379	5	5	0	<-3	0.937	1.000	Mutual exclusivity
MMD	GLS	379	5	5	0	<-3	0.937	1.000	Mutual exclusivity
ARRB1	GLS	379	5	5	0	<-3	0.937	1.000	Mutual exclusivity
NR1I2	FBXO11	375	2	12	0	<-3	0.939	1.000	Mutual exclusivity
CSF2	FBXO11	375	2	12	0	<-3	0.939	1.000	Mutual exclusivity
GEMIN2	FBXO11	375	2	12	0	<-3	0.939	1.000	Mutual exclusivity
NAMPT	FBXO11	375	2	12	0	<-3	0.939	1.000	Mutual exclusivity
CSF2	GRN	375	2	12	0	<-3	0.939	1.000	Mutual exclusivity
GEMIN2	GRN	375	2	12	0	<-3	0.939	1.000	Mutual exclusivity
NR1I2	PKP3	375	2	12	0	<-3	0.939	1.000	Mutual exclusivity
CSF2	PKP3	375	2	12	0	<-3	0.939	1.000	Mutual exclusivity
GEMIN2	PKP3	375	2	12	0	<-3	0.939	1.000	Mutual exclusivity
FBXO11	NODAL	375	12	2	0	<-3	0.939	1.000	Mutual exclusivity
GRN	NODAL	375	12	2	0	<-3	0.939	1.000	Mutual exclusivity
PKP3	NODAL	375	12	2	0	<-3	0.939	1.000	Mutual exclusivity
NR1I2	QKI	375	2	12	0	<-3	0.939	1.000	Mutual exclusivity
